;ID;NOMBRE ESTACIÓN;LATITUD;LONGITUD;;;
1;11001;ABASOLO-GTO;20.44666667;-101.5422222;;;
2;11002;ACAMBARO-GTO;20.0325;-100.7116667;;;
3;11003;AGUA TIBIA-GTO;20.51027778;-101.6269444;;;
4;11004;ALDAMA-GTO;20.81694444;-101.3219444;;;
5;11005;APASEO-GTO;20.54444444;-100.6947222;;;
6;11006;APASEO EL ALTO-GTO;20.455;-100.6269444;;;
7;11007;CALDERONES-GTO;20.99166667;-101.2202778;;;
8;11009;CELAYA (SMN)-GTO;20.53638889;-100.8302778;;;
9;11010;CERANO-GTO;20.10111111;-101.3897222;;;
10;11011;CINCO SEÑORES-GTO;20.95777778;-100.8980556;;;
11;11012;CORONEO-GTO;20.19833333;-100.3558333;;;
12;11013;CORTAZAR-GTO;20.48777778;-100.9658333;;;
13;11014;CUERAMARO-GTO;20.62555556;-101.6777778;;;
14;11015;CHARCAS-GTO;21.13916667;-100.3219444;;;
15;11017;DOLORES HIDALGO (SMN)-GTO;21.15222222;-100.9658333;;;
16;11020;EL PALOTE-GTO;21.17277778;-101.6947222;;;
17;11021;EL SABINO-GTO;20.28138889;-101;;;
18;11022;EL TERRERO-GTO;20.36972222;-100.5591667;;;
19;11023;GUANAJAL-GTO;21.02527778;-101.8472222;;;
20;11025;HACIENDA DE ARRIBA-GTO;21.23111111;-101.7116667;;;
21;11028;IRAPUATO-GTO;20.66833333;-101.3388889;;;
22;11030;JARAL DE BERRIOS-GTO;21.695;-101.0169444;;;
23;11031;JERECUARO-GTO;20.14305556;-100.5252778;;;
24;11032;SANTA CRUZ JUVENTINO ROSAS (DGE)-GTO;20.22111111;-101.1355556;;;
25;11033;LA BEGOÑA-GTO;20.84833333;-100.8302778;;;
26;11034;LA GOLONDRINA-GTO;20.43444444;-101.7286111;;;
27;11035;LA SANDIA-GTO;20.92055556;-101.6947222;;;
28;11036;ADJUNTAS-GTO;20.67527778;-101.8472222;;;
29;11040;LOS CASTILLOS-GTO;21.19527778;-101.6777778;;;
30;11041;LOS RAZOS-GTO;20.67583333;-101.1355556;;;
31;11042;LOS RODRIGUEZ-GTO;21.04083333;-100.6438889;;;
32;11044;MANDUJANO-GTO;20.74027778;-101.0338889;;;
33;11045;MEDIA LUNA-GTO;21.3325;-101.6438889;;;
34;11047;MOROLEON-GTO;20.12555556;-101.1863889;;;
35;11048;NEUTLA-GTO;20.70777778;-100.8472222;;;
36;11050;OCAMPO-GTO;21.65;-101.4744444;;;
37;11051;PEÑUELITAS-GTO;21.10777778;-100.8811111;;;
38;11052;PERICOS-GTO;20.52222222;-101.1186111;;;
39;11053;POZOS-GTO;21.22;-100.4913889;;;
40;11054;PUEBLO NUEVO-GTO;20.5275;-101.3727778;;;
41;11055;PURISIMA DE BUSTOS-GTO;21.07861111;-101.8811111;;;
42;11056;PLANTA RAMOS MILLAN-GTO;20.51166667;-100.9658333;;;
43;11060;SALVATIERRA-GTO;20.92194444;-101.0338889;;;
44;11061;SAN ANTON-GTO;21.46944444;-101.2202778;;;
45;11063;SAN CRISTOBAL-GTO;21.51444444;-101.5422222;;;
46;11065;SAN FELIPE (DGE)-GTO;21.47166667;-100.9319444;;;
47;11066;SAN JOSE ITURBIDE (SMN)-GTO;21.29638889;-100.5083333;;;
48;11068;SAN LUIS DE LA PAZ-GTO;20.63305556;-100.9997222;;;
49;11070;SANTA JULIA-GTO;21.07222222;-101.1863889;;;
50;11071;SANTA MARIA (DGE)-GTO;20.94333333;-101.4236111;;;
51;11072;SANTA RITA-GTO;20.29833333;-101.0677778;;;
52;11073;SANTA ROSA MINERAL-GTO;20.30555556;-101.7794444;;;
53;11074;SILAO (DGE)-GTO;19.9975;-100.5083333;;;
54;11075;SOLEDAD NUEVA-GTO;20.28722222;-100.7625;;;
55;11076;PRESA SOLIS-GTO;20.05388889;-100.6777778;;;
56;11077;TARANDACUAO-GTO;20.30555556;-101.7794444;;;
57;11078;TARIMORO-GTO;19.9975;-100.5083333;;;
58;11079;VALLE DE SANTIAGO-GTO;20.38277778;-101.1694444;;;
59;11081;VILLA VICTORIA -GTO;21.2;-100.2202778;;;
60;11083;XICHU-GTO;21.29861111;-100.0847222;;;
61;11085;DOS ARROYOS-GTO;20.83388889;-101.0508333;;;
62;11093;SAN MIGUEL DE ALLENDE (SMN)-GTO;20.43055556;-101;;;
63;11094;GUANAJUATO (DGE)-GTO;21.01472222;-101.2541667;;;
64;11095;LEON (DGE)-GTO;21.13611111;-101.6947222;;;
65;11096;SALAMANCA-GTO;21.06972222;-101.0169444;;;
66;11099;MARIANO ABASOLO-GTO;20.49944444;-101.9488889;;;
67;11100;ROQUE-GTO;20.58138889;-100.8302778;;;
68;11103;VALENCIANA-GTO;21.03416667;-101.2541667;;;
69;11105;AMECHE-GTO;20.55361111;-100.5761111;;;
70;11107;LA QUEMADA-GTO;21.3225;-101.1016667;;;
71;11111;ATARJEA-GTO;21.26722222;-99.72861111;;;
